Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
42,-0.7166438698768616,4.85479736328125,78.80626678466797,-0.7715626453849274,2.35538023914655,-92.82184335832027,-3.715351,7.3793917,17.047934,7.053229,-5.1174145,-4.803402,-6.7078767,-3.0922282,-4.2497487,10.304402,-6.2005863,5.3484035,2.3860526,-8.94784,12.738588,-2.2107937,23.9989,-26.14628,52.7577,21.318464,-8.22723,-5.302395,-6.466285,-16.815643,31.87548,49.357006,-20.270512,-10.518136,4.440156
43,-0.8243076801300049,4.906282424926758,78.82772064208984,-0.8879886990333422,2.4339420778833274,-93.09928652227498,-3.731537,7.6527166,17.249577,6.955278,-5.009295,-4.900693,-6.9567437,-3.0077553,-4.271262,10.337273,-6.162203,5.2204638,2.4682775,-9.143552,12.749806,-1.9329948,24.58145,-25.518377,52.39403,21.56842,-8.317392,-5.299766,-6.4690733,-17.125267,31.236168,49.332542,-20.705467,-10.49748,4.4880667
44,-0.9327178001403809,4.950196266174316,78.85440826416016,-0.999540952171079,2.5196783683044233,-93.34248626870821,-3.753709,7.9118714,17.424078,6.8422804,-4.8924575,-4.997182,-7.15436,-2.9965467,-4.4127226,10.262185,-6.1041784,5.149027,2.5212624,-9.331351,12.737556,-1.6374195,25.175781,-24.836542,52.043186,21.792458,-8.392791,-5.2823334,-6.463472,-17.483221,30.600437,49.338654,-21.052654,-10.48273,4.5270624
45,-1.039517879486084,4.98661470413208,78.87283325195312,-1.1028489207626642,2.613552753142934,-93.5441531078077,-3.81355,8.160814,17.561745,6.781057,-4.8022633,-5.0898356,-7.27895,-3.0724792,-4.7131963,10.038735,-6.025877,5.1518617,2.5316513,-9.515588,12.696184,-1.3147538,25.780437,-24.096191,51.705677,21.985994,-8.446606,-5.2394013,-6.4523125,-17.892302,29.987131,49.380974,-21.290186,-10.473275,4.5535016
46,-1.1407177448272705,5.017467975616455,78.8947982788086,-1.2085715754138664,2.713712888620788,-93.71383577371135,-3.9107788,8.415928,17.666182,6.779664,-4.7433715,-5.1839056,-7.3512683,-3.2121742,-5.1432595,9.708679,-5.9359207,5.185283,2.5093727,-9.684475,12.629203,-0.96299005,26.393835,-23.29733,51.37544,22.164062,-8.488099,-5.181717,-6.4283233,-18.352955,29.379845,49.451042,-21.458914,-10.459668,4.574978
47,-1.250964641571045,5.04613733291626,78.91162109375,-1.3150208576208362,2.819510871121739,-93.86019526093048,-4.017224,8.669573,17.749367,6.7784076,-4.6841726,-5.2825003,-7.4004445,-3.4011636,-5.63718,9.324999,-5.8247623,5.2431846,2.474667,-9.836901,12.546797,-0.5998566,27.016256,-22.446293,51.05643,22.323044,-8.525971,-5.1263223,-6.382947,-18.866194,28.750652,49.533024,-21.57291,-10.449989,4.5950313
48,-1.3604670763015747,5.068076133728027,78.92681121826172,-1.422216021897073,2.9304284200729516,-93.99192716327674,-4.1348696,8.925814,17.818644,6.7815413,-4.626461,-5.3890085,-7.4571295,-3.6243923,-6.129326,8.94299,-5.684573,5.3188953,2.4482982,-9.969239,12.460212,-0.2508386,27.649958,-21.55571,50.75792,22.453594,-8.568883,-5.0902667,-6.305046,-19.432705,28.069735,49.60751,-21.646334,-10.452195,4.6176305
49,-1.4847280979156494,5.0924835205078125,78.94212341308594,-1.5302458948992572,3.0492830959621724,-94.10529900991192,-4.274012,9.186612,17.87037,6.8009453,-4.5761547,-5.506699,-7.5215335,-3.885014,-6.631236,8.5539665,-5.499771,5.418534,2.4343436,-10.081311,12.367828,0.08921684,28.295294,-20.623827,50.47625,22.551838,-8.623743,-5.081765,-6.178123,-20.053038,27.311766,49.65983,-21.668854,-10.472869,4.6455135
50,-1.6051344871520996,5.1158928871154785,78.9535140991211,-1.6388376485774514,3.175498415266606,-94.19786134613504,-4.427916,9.449239,17.902687,6.826437,-4.5287004,-5.6328554,-7.57914,-4.1886735,-7.16803,8.136575,-5.2789283,5.542955,2.4232397,-10.174404,12.26687,0.4048469,28.953634,-19.665392,50.230465,22.603636,-8.684449,-5.0900664,-6.008825,-20.72808,26.495798,49.69996,-21.6354,-10.506292,4.6767616
51,-1.7229441404342651,5.1308979988098145,78.96444702148438,-1.7488844517884365,3.3034752157619964,-94.27988817674094,-4.585451,9.7154,17.923695,6.8554063,-4.4830728,-5.7624297,-7.640624,-4.525104,-7.6940556,7.7296863,-5.05154,5.677288,2.4245737,-10.248776,12.163175,0.73076636,29.621775,-18.653282,49.9831,22.653664,-8.74062,-5.1069756,-5.804034,-21.456665,25.643713,49.73866,-21.576374,-10.542646,4.7093973
